,Dnaja3,Camk2n1,Fau,Terf2,Dis3l2,Tmem147,Abhd14a,Sh3bgrl2,Psma3l,Uqcr11,Tmem126a,Irf4,Hyou1,Mgst3,LOC100909510,Rbm22,Dbnl,Mad2l1,Ppm1b,Nme7,Trappc6a,Nabp2,Invs,Hist1h4m,Fuca2,Hypk,Crh,Rnh1,Hnrnpa3,Klc1,Usp9x,Lcn2,Spsb2,LOC498154,Zmynd11,Gps1,Paqr7,Tmsb4x,Sept7,Rps27a,Add3,Spint2,Twsg1,Rab3il1,Mrps21,Trappc2b,Nsun5,Ost4,Maged2,Sprn,Erp44,Mcam,Hap1,Plcd1,Pomp,Lrrc46,Nmi,Ndufs8,Rpp40,Esd,Mgarp,RGD735065,Cox20,Cpt2,Thumpd3,Hspa1b,Edf1,Sf3b6,Tmem59l,Nat2,Rassf1,Myl6,Cenpk,Rarg,Plod2,Ndufb4,Cdk10,Shank2,Mrpl4,Ndufa2,Mis18bp1,Ifit3,Hras,Cox5b,Diaph3,Uck2,Gemin8,Mfsd10,Ddah2,Chmp1b,Syn2,Gnpda2,Arsk,Eif2b2,Carm1,Cln3,Tmem170a,Tmem50a
embryo,4,0,2,1,1,1,0,1,0,0,0,4,17,0,0,4,3,2,7,1,0,0,5,2,0,0,1,20,14,2,2,3,6,0,0,0,0,1,9,13,1,4,9,0,0,0,2,0,3,3,1,1,0,21,0,0,0,0,0,0,0,0,0,1,0,18,0,3,0,0,0,17,0,56,4,0,40,0,0,0,0,0,20,1,6,1,0,0,1,3,0,1,0,0,12,0,0,1
resistance,12,0,3,0,1,0,0,0,7,0,0,6,18,1,0,1,0,1,18,5,0,0,1,2,0,0,0,4,6,1,1,0,1,0,1,1,0,0,5,19,0,4,0,0,0,0,4,0,3,0,0,2,0,7,0,0,0,6,0,5,0,0,0,3,0,25,3,2,0,6,2,13,0,55,0,1,21,0,14,0,0,1,25,0,1,4,0,2,3,0,1,7,1,1,7,2,0,0
disorder,1,0,0,1,3,0,0,0,9,0,2,12,9,0,1,0,5,0,2,3,4,0,6,1,1,1,5,20,14,4,2,0,0,0,2,0,1,0,10,2,1,1,0,0,0,5,4,0,4,1,0,2,8,12,2,4,0,1,0,0,1,0,1,21,0,8,0,0,2,0,1,17,0,51,10,1,8,25,0,1,0,0,48,1,5,0,0,0,1,0,14,3,1,3,5,14,0,0
proteasome,4,1,0,0,0,0,0,0,113,0,0,0,10,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,11,0,0,1,29,0,0,0,0,0,1,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,10,0,0,1,0,0,3,0,3,0,0,9,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
plasma,2,0,0,0,3,0,0,0,1,0,0,0,20,0,0,0,6,0,12,4,1,0,2,0,0,0,7,0,1,1,1,12,0,0,0,0,5,0,19,3,6,17,0,2,0,0,0,0,2,1,0,2,2,29,0,0,0,0,0,0,0,0,0,7,0,22,0,0,1,2,0,8,0,34,0,0,4,4,0,0,0,0,84,1,4,0,0,0,11,3,2,1,0,0,6,2,0,0
survival,17,0,2,0,7,0,0,0,8,0,0,3,33,0,0,0,5,3,19,13,0,2,3,2,2,0,0,3,14,0,5,2,1,0,0,0,0,4,4,12,1,7,0,0,1,0,1,0,18,1,2,5,4,6,0,1,0,2,0,1,0,0,0,2,0,31,1,3,0,2,7,7,1,38,2,0,24,0,1,0,0,4,44,4,2,0,2,1,2,0,3,6,0,0,4,0,1,0
vesicle,4,0,0,0,0,0,0,0,2,0,0,0,14,1,0,0,3,0,2,1,10,0,1,0,0,0,0,4,3,9,0,1,0,0,0,0,0,0,26,1,4,1,0,5,0,7,0,0,0,1,0,0,11,8,0,1,0,1,0,0,0,0,0,1,0,19,1,0,0,1,1,9,0,6,0,0,15,1,1,0,0,0,98,0,3,0,0,0,1,9,26,2,0,0,0,1,0,0
progression,2,1,0,0,5,0,0,1,7,1,1,2,9,0,0,0,5,10,10,4,1,1,0,4,0,0,0,1,22,0,5,2,0,0,0,0,1,7,8,5,1,7,0,0,1,0,1,0,6,0,0,5,1,13,0,2,0,0,0,2,0,1,0,1,0,13,1,4,0,1,9,4,0,41,2,1,124,0,2,0,0,1,28,3,6,0,0,0,3,0,1,2,0,0,8,4,1,0
allele,2,0,1,2,6,0,0,1,4,0,0,9,8,1,0,2,0,1,17,5,0,1,9,2,1,0,2,2,10,4,3,0,0,0,0,0,0,0,8,8,2,0,0,0,0,0,1,0,7,4,0,2,2,7,0,1,0,1,0,2,0,0,0,12,0,10,0,0,1,12,4,12,0,33,5,1,30,2,4,0,0,1,41,1,3,0,0,0,0,0,1,7,0,0,3,1,1,0
ligand,1,0,0,0,0,0,0,0,3,0,2,0,7,0,0,0,4,3,3,1,0,0,0,0,2,0,4,8,3,3,2,14,2,0,1,0,4,0,0,2,0,1,2,0,0,0,0,0,5,0,1,5,1,9,0,0,0,2,0,1,0,0,0,1,0,6,1,0,0,3,1,2,0,161,2,0,6,4,0,0,0,1,13,0,4,4,0,0,1,0,0,6,0,1,4,0,0,0
